Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Asian Journal of Organic & Medicinal Chemistry,0 %,"3,65 %","1,71","0,06",0,0
Nepalese Journal of Ophthalmology,100 %,"17,98 %","6,86","0,74",0,"0,07"
US Cardiology Review,100 %,"10,17 %","1,71","1,85",0,0
Turkish Journal of Plastic Surgery,100 %,"8,33 %","1,71","0,25",0,0
Therapeutic Advances in Gastrointestinal Endoscopy,100 %,"31,52 %","4,14","8,36",0,"1,57"
The Journal of Japanese College of Angiology,100 %,"9,05 %","2,57","0,05",0,0
Journal of Public Health and Epidemiology,"98,53 %","17,34 %","4,29","2,56",0,"0,04"
Anatomia Histologia Embryologia,"22,33 %","3,25 %","2,46","8,05",0,"0,78"
Journal of Medicine and Palliative Care,"99,75 %","6,06 %",2,"0,1",0,"0,04"
Cardiovascular Medicine,100 %,5 %,"2,43","0,43",0,"0,06"
Kompass Dermatologie,"38,3 %","4,55 %",3,0,0,"0,2"
Ciencia y Salud,100 %,"13,9 %","2,69","0,11",0,0
LymphoSign Journal,"29,54 %","49,48 %","6,86","1,2",0,0
Journal of the Indonesian Tropical Animal Agriculture,100 %,"6,59 %","2,43","1,99",0,0
Revista Brasileira de Epidemiologia,100 %,"5,38 %","4,75","6,74",0,"0,84"
Journal of Indian Association of Pediatric Surgeons,100 %,"26,59 %","30,43","2,14",0,"0,25"
Light & Engineering,"12,67 %","2,17 %","1,71","0,81",0,0
Yakut Medical Journal,"0,14 %","6,44 %","6,43","0,19",0,0
Journal of Medical Microbiology and Infectious Diseases,100 %,"18,13 %","4,43","1,23",0,0
International Clinical Neuroscience Journal,100 %,"18,71 %","4,57","0,26",0,0
Journal of Osteopathic Medicine,"92,31 %","2,2 %","2,29","3,5",0,"12,55"
Chemistry,100 %,"2,59 %","1,86","3,27",0,"2,05"
Acta Scientiae Veterinariae,"98,81 %","7,32 %","14,86","0,52","0,01",0
Revista Colombiana de Reumatología,"4,6 %","8,9 %","6,66","0,73",0,"2,52"
Journal of Cutaneous Immunology and Allergy,100 %,"30,98 %","14,43","0,73",0,"0,22"
International Journal of Environment and Geoinformatics,100 %,"5,25 %","2,43","3,28",0,0
Journal of Materials Science: Materials in Electronics,"7,05 %","0,11 %","2,14","23,12",0,0
International Journal of Clinical Endocrinology and Metabolism,"98,81 %",100 %,"4,57","2,32",0,"0,51"
Case Reports in Otolaryngology,100 %,"34,16 %","11,86","2,56",0,"0,38"
Hearts,100 %,"10,53 %","1,71","1,53",0,"1,67"
Egyptian Journal of Nutrition and Feeds,"98,36 %","6,16 %","2,57","1,75",0,0
Plant Stress,100 %,"12,75 %","10,14","10,45",0,"6,9"
Alexandria Dental Journal,"97,48 %","4,76 %","2,71","0,99",0,0
Adipocyte,"99,2 %","7,63 %","2,57","8,3",0,"1,35"
Indonesian Journal of Geography,100 %,"5,91 %",2,"2,36",0,0
Microbial Ecology,"39,32 %","1,59 %","2,71","12,89",0,"4,49"
Orthopedic Research and Reviews,100 %,"13,18 %","2,43","13,87",0,"1,55"
Chinese Journal of Physical Medicine and Rehabilitation,0 %,"0,99 %",2,"0,77",0,0
Journal of Applied Mathematics,100 %,"5,7 %","2,57","15,57","0,11",0
The Proceedings of the Thermal Engineering Conference,"16,17 %","1,64 %","1,71","0,04",0,0
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,100 %,"4,04 %","7,9","1,36",0,0
The Journal of Hand Surgery (Asian-Pacific Volume),"11,54 %","5,69 %","5,43","1,77",0,"0,08"
Arkhiv patologii,"15,74 %","14,65 %","9,96","1,88",0,"1,08"
Coatings,"99,96 %","0,17 %","1,71","6,46",0,"0,4"
Chinese Journal of Orthopaedics,0 %,"9,72 %",17,1,0,0
Russian Journal of Biotherapy,"98,35 %","15,47 %","4,93","1,38",0,0
Juntendo Medical Journal,100 %,"9,81 %","6,57","0,4",0,0
Microbiologia Medica,100 %,"19,18 %",2,"0,38",0,"0,42"
Journal of Medical Ultrasound,100 %,"11,21 %","8,86","2,89",0,"0,35"
Chinese Journal of Pediatric Surgery,0 %,"19,54 %","36,74","1,21",0,0
African Entomology,"34,79 %","4,06 %","1,86","2,95",0,"0,31"
Journal of Applied Biomedicine,"13,3 %","6,76 %",5,"36,89",0,"2,28"
Personalized Medicine,"28,57 %","9,1 %","4,29","8,38",0,"1,53"
Tijdschrift voor Urologie,100 %,"7,52 %","2,43","0,75",0,"0,11"
EMC - Ginecología-Obstetricia,0 %,"19,33 %","3,29","0,1",0,"0,14"
American Association of Bovine Practitioners Conference Proceedings,"32,69 %","2,55 %","2,57","0,47",0,0
Clinical Management Issues,100 %,"31,37 %","2,29","0,41",0,0
Jurnal Epidemiologi Kesehatan Komunitas,100 %,"12,8 %","2,29","0,81",0,0
Farmacia Hospitalaria,"23,36 %","5,24 %","3,14","1,96",0,"2,22"
Russian Family Doctor,"64,43 %","7,02 %","1,71","0,61",0,0
OpenNano,100 %,"13,56 %","3,43","13,04",0,"2,53"
The International Journal of Spine Surgery,"98,16 %","3,7 %","4,71","3,36",0,"0,28"
Periodontology 2000,"51,81 %","3,93 %","1,86","49,57",0,"3,14"
International Journal of Women's Health and Reproduction Sciences,"99,34 %","5,68 %","2,5","1,3",0,0
Case Reports in Veterinary Medicine,100 %,"23,38 %","2,57","2,1",0,"0,41"
Clinical Research in Practice The Journal of Team Hippocrates,"99,2 %",8 %,"1,71","0,09",0,0
Sri Lankan Journal of Infectious Diseases,100 %,"18,89 %","7,29","0,47",0,"0,04"
Jurnal Aisyah Jurnal Ilmu Kesehatan,"98,12 %","2,54 %","3,58","0,43",0,0
Science China Materials,"99,46 %","0,93 %","2,14","14,87",0,"0,13"
Neurophysiology,"19,39 %","7,25 %","2,14","5,56",0,0
The Journal of Tehran University Heart Center,100 %,"14,29 %","5,14","1,53",0,"0,22"
Advances in molecular oncology,100 %,"23,99 %","5,97","0,67",0,0
Children Infections,100 %,"19,08 %","8,29","0,8",0,0
Journal of Translational Genetics and Genomics,"98,33 %","31,9 %","7,43","3,59",0,"0,76"
Drugs and Drug Candidates,100 %,"20,48 %","2,43","1,22",0,"0,25"
Exploration of Neuroprotective Therapy,100 %,"14,12 %","1,71","1,56",0,"4,44"
Homœopathic Links,"2,54 %","3,23 %","1,86","0,39",0,0
Jurnal Kesehatan Masyarakat,100 %,"8,04 %","5,29","1,36",0,0
Online Journal of Public Health Informatics,100 %,"13,4 %","9,86","1,47",0,"0,28"
International Journal of Hepatobiliary and Pancreatic Diseases,"96,67 %","56,52 %","1,86","0,9",0,0
Вестник дерматологии и венерологии,100 %,"22,91 %","12,14","0,69",0,0
Revista de Investigaciones Veterinarias del Perú,"99,88 %","2,34 %","3,64","0,3",0,"0,02"
Pharmaceutical Sciences,100 %,"7,57 %",4,"3,1",0,0
Journal of Oral Biosciences,"23,96 %","8,28 %","3,43","9,55",0,"0,95"
"Medical Hypothesis, Discovery & Innovation in Ophthalmology","56,7 %","10,8 %","2,71","5,33",0,"0,51"
STEMedicine,100 %,"18,99 %","2,14","4,16",0,0
Nanophotonics,100 %,"1,13 %",2,"15,06",0,"1,32"
Reumatismo,100 %,"27,1 %","8,29","4,14",0,"1,24"
Journal of Biomedicine and Translational Research,100 %,"22,12 %","3,57","1,49",0,0
Macedonian Pharmaceutical Bulletin,100 %,"2,26 %","2,43","0,21",0,0
Bengal Journal of Otolaryngology and Head Neck Surgery,100 %,"17,09 %","6,71","0,31",0,"0,02"
Tavricheskiy Mediko-Biologicheskiy Vestnik,"57,35 %","23,81 %","3,57","0,55",0,0
Acta Fytotechnica et Zootechnica,100 %,"7,12 %","3,14","0,92",0,0
Russian Pediatric Journal,100 %,"18,18 %","2,29",0,0,0
Journal of Kathmandu Medical College,"97,57 %","9,26 %","3,57","0,42",0,"0,05"
Intelligent Pharmacy,"98,63 %","8,82 %","1,71","0,5",0,"0,63"
Annals of Vascular Surgery - Brief Reports and Innovations,100 %,"19,24 %","8,71","0,31",0,"0,26"
Journal of Pathology and Translational Medicine,100 %,"28,95 %","14,55","7,38",0,"1,25"
Indian Journal of Gynecologic Oncology,"6,84 %","20,24 %",19,"0,65",0,"0,14"
Korean Journal of Anesthesiology,100 %,"4,27 %","3,71","3,76",0,"0,36"
Journal of Children's Orthopaedics,100 %,"7,53 %",6,"7,84",0,"0,76"
Marine Chemistry,"41,82 %","22,08 %","17,29","11,05",0,"1,29"
Brazilian Journal of Poultry Science,100 %,"2,77 %","2,14","4,83",0,0
Folia Medica Indonesiana,100 %,"14,25 %","8,43","0,41",0,"1,18"
Letters in Organic Chemistry,"1,84 %","2,83 %","3,71","2,58",0,"0,04"
Ain-Shams Journal of Anesthesiology,100 %,"5,33 %",3,"0,68",0,"0,04"
Uludağ Üniversitesi Tıp Fakültesi Dergisi,"99,74 %","7,31 %","3,64","0,33",0,0
Nihon Toseki Igakkai Zasshi,"94,88 %","5,57 %","3,79","0,08",0,"0,33"
gynäkologie + geburtshilfe,"0,46 %","4,17 %","9,71","0,11",0,0
Düzce Tıp Fakültesi Dergisi,100 %,"6,86 %","3,53","0,29",0,0
Indian Journal of Musculoskeletal Radiology,"56,78 %","28,77 %",6,"0,83",0,0
Journal of Evolutionary Biochemistry and Physiology,"4,5 %","9,05 %","9,29","1,59",0,"0,04"
AIJ Journal of Technology and Design,100 %,"0,83 %","1,86","1,13",0,0
Acta medica Eurasica,0 %,"18,25 %","3,57","0,16",0,0
Dokkyo Medical Journal,0 %,"27,1 %","4,14",0,0,0
Journal of Midwifery,100 %,"11,5 %","1,86","0,37",0,0
Anales de la Facultad de Medicina,100 %,"7,4 %","4,71","0,49",0,"0,05"
Chinese Journal of Practical Ophthalmology,0 %,"7,59 %","1,71","0,11",0,0
Current Directions in Biomedical Engineering,100 %,"1,69 %",3,"0,92",0,"0,03"
Multidisciplinary Cancer Investigation,"98,95 %",25 %,"3,14","1,44",0,0
Journal of Water and Soil Science,100 %,"8,05 %",7,"0,66",0,0
Journal of Pharmaceutical Investigation,"16,79 %","7,01 %","2,71","16,89",0,"0,74"
Journal of Pediatric Endoscopic Surgery,"17,54 %","12,02 %",4,"0,59",0,"0,4"
The Arab Journal of Interventional Radiology,100 %,"6,8 %","9,86","0,1",0,"1,88"
Bulletin of Rehabilitation Medicine,100 %,"5,2 %","2,43","0,72",0,0
Journal of the Chinese Chemical Society,"21,02 %","1,25 %","2,41","3,57",0,0
Andrology and Genital Surgery,100 %,"9,54 %","3,57","0,78",0,"0,01"
Journal of Nutritional Science and Vitaminology,100 %,"2,65 %","2,14","5,89",0,"1,39"
風工学研究論文集,0 %,"17,39 %","1,71","0,08",0,0
Kidney Cancer Journal,"45,43 %","60,42 %","4,14","1,93",0,"1,93"
Geoscientific Instrumentation Methods and Data Systems,100 %,"70,72 %","18,29","6,96",0,"1,49"
Japanese Journal of Radiological Technology,"44,49 %","2,02 %","2,43","1,01",0,"0,11"
Postępy Higieny i Medycyny Doświadczalnej,"98,09 %","9,83 %","6,25","0,87",0,0
International Journal of Electrical and Electronics Research,100 %,3 %,"1,71","5,02",0,0
Annals of Eye Science,"75,93 %","10,98 %","6,86","2,81",0,"0,24"
Journal of Neurological Surgery Reports,100 %,"46,72 %","9,14","3,12",0,"2,07"
Clinical Medicine of China,0 %,"9,83 %","8,76","0,29",0,0
European Spine Journal,"39,5 %","2,33 %","8,14","13,94",0,"2,97"
European Polymer Journal,"20,01 %","1,23 %","6,57","14,16",0,"0,08"
Multimedia Tools and Applications,"14,48 %","1,05 %","21,21","20,77",0,"0,32"
Bulletin Of Medical And Biological Research,100 %,"7,03 %","2,71","0,44",0,0
ASPIRATOR - Journal of Vector-borne Disease Studies,100 %,"56,14 %","4,57","1,46",0,0
Celal Bayar Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi,"97,23 %","3,41 %","1,86","0,55",0,0
Journal of Nepal Health Research Council,100 %,"6,46 %","7,83","1,98",0,"0,31"
Universitas Médica,100 %,"10,26 %","4,43","0,55",0,"1,88"
Fundamental and Clinical Medicine,"97,51 %","7,13 %","2,81","0,99",0,0
Foot & Ankle Orthopaedics,100 %,"0,89 %","4,29","0,2",0,0
Fisheries Science,"21,21 %","4,15 %","3,86","3,83",0,"0,44"
Journal of Agromedicine and Medical Sciences,100 %,"10,4 %","2,57","0,72",0,0
河川技術論文集,0 %,"7,21 %","13,29","0,12",0,"0,01"
BMC Hematology,100 %,"52,94 %","3,86","15,18",0,"1,26"
IP International Journal of Comprehensive and Advanced Pharmacology,"97,92 %","8,25 %","2,29","1,54",0,0
EMJ Oncology,100 %,"22,22 %","2,57","0,8",0,"0,05"
Alexandria Engineering Journal,100 %,"0,91 %","5,57","24,05",0,"0,12"
Molecular & Cellular Toxicology,"9,98 %","8,34 %","5,99",4,"0,02","0,01"
Ophthalmic & Physiological Optics,"61,36 %","3,01 %","3,14","12,91",0,"1,32"
Chinese Journal of Diabetes Mellitus,0 %,"8,97 %","17,43","1,12",0,0
FEMS Microbiology Letters,"54,85 %","4,82 %","8,43","6,76",0,"3,8"
Medical Journal of Cell Biology,"99,27 %","10,97 %","2,43","1,67",0,0
Pediatric Discovery,"91,11 %","18,48 %","2,43","0,52",0,2
Tissue Engineering Part C Methods,"39,41 %","7,33 %",2,"8,46",0,"2,56"
MNJ (Malang Neurology Journal),100 %,"17,11 %","3,71","0,93",0,0
Siriraj Medical Journal,100 %,"11,7 %","8,86","0,65",0,"0,06"
Journal of Cataract and Refractive Surgery Online Case Reports,100 %,"8,92 %",2,"2,48",0,"2,54"
European Journal of Plant Pathology,"27,36 %","1,36 %","2,37","11,37",0,"1,83"
Journal of Coloproctology,100 %,"2,56 %","10,29","0,9",0,"0,17"
TELKOMNIKA (Telecommunication Computing Electronics and Control),"99,86 %","0,81 %",2,"10,47",0,0
Geofizika,100 %,"48,1 %","5,43","5,21",0,"0,02"
学会誌JSPEN,0 %,"3,8 %",2,0,0,"0,14"
Ciência Animal Brasileira,100 %,"3,64 %","1,71","1,21",0,0
Journal of Industrial and Engineering Chemistry,"6,18 %","0,72 %","4,14","10,7",0,"0,03"
Water Practice & Technology,"93,89 %","7,22 %",11,"5,55",0,"0,15"
Jurnal Kesehatan Reproduksi,"98,65 %","12,1 %","2,14","0,17",0,0
Journal of Chemical Ecology,"39,3 %","4,01 %","3,14","11,44",0,"4,37"
中华口腔医学杂志,0 %,"7,01 %","13,14","1,55",0,"0,13"
Basic Research in Cardiology,"73,11 %","3,95 %","1,71","21,46",0,"3,83"
International Journal of Immunology,"5,88 %","7,31 %","8,52","0,36",0,0
International Journal of Biomedical Engineering and Technology,"3,01 %","2,1 %","2,04","0,8",0,0
Universa Medicina,100 %,10 %,"2,86","0,64",0,0
Open Journal of Thoracic Surgery,100 %,"31,91 %","2,14","0,53",0,"1,36"
Journal of Reproductive Healthcare and Medicine,"41,17 %","22,41 %","1,86","0,82",0,0
BIOspektrum,"75,22 %","2,03 %",3,"0,07",0,"0,73"
Journal Of Vocational Health Studies,100 %,"8,82 %","1,71","0,96",0,1
Indian Journal of Neurosurgery,100 %,"28,24 %","15,57","0,53",0,"0,04"
Composites Part B Engineering,"19,56 %","0,38 %","2,71","27,52",0,0
Japanese Journal of Oral Diagnosis / Oral Medicine,29 %,"23,91 %","6,29","0,2",0,"0,01"
ExRNA,"91,79 %","11,11 %","1,71","7,49",0,"0,05"
Neuro-Ophthalmology,"76,51 %","27,27 %","18,43","2,62",0,"1,61"
Tree Physiology,"40,03 %","6,78 %","10,57","12,48",0,"1,26"
European Journal of Chemistry,100 %,"4,11 %","1,71","1,81",0,0
Northern International Medical College Journal,"95,87 %","19,74 %","2,14","0,83",0,0
Chinese Journal of Neuromedicine,0 %,"8,83 %","17,57","0,67",0,0
Chest Disease Reports,"99,29 %","37,04 %","2,86",0,0,"0,12"
Journal of Medical Science,100 %,"10,38 %","3,14","0,99",0,"0,05"
Scientia Medica,100 %,"8,17 %","2,43","0,19",0,"0,13"
Journal of Gandaki Medical College-Nepal,100 %,"6,51 %",2,"0,66",0,0
Hematologia,100 %,"39,47 %","2,14","0,53",0,0
Korean Journal of Ophthalmology,100 %,"7,61 %",6,"4,27","0,02",0
In a good rythm,0 %,"16,47 %",2,"0,04",0,0
Journal of Operational Meteorology,100 %,"70,97 %","6,29","3,67",0,"1,74"
Aging Pathobiology and Therapeutics,100 %,"12,69 %","2,43","3,37",0,"0,22"
Agrarian science,"91,17 %","1,17 %","1,71","0,19",0,0
Bulletin of Russian State Medical University,"97,39 %","7,76 %","5,36","0,99",0,0
Revista Ciencias de la Salud,100 %,"5,1 %","1,86","0,35",0,"0,5"
Reviews on Clinical Pharmacology and Drug Therapy,"62,47 %","7,3 %","2,62","0,71",0,0
ESMO Gastrointestinal Oncology,"91,6 %","28,07 %","2,29","0,64",0,"2,95"
Journal of Clinical and Experimental Dentistry,"97,2 %","7,9 %","13,14","3,74",0,"0,26"
Journal of Biosocial Science,"30,24 %","3,54 %","1,71","6,25",0,"2,85"
International Journal of Cancer Care and Delivery,"98,67 %","14,35 %","3,14","0,16",0,0
Evidence Based Women's Health Journal,"90,67 %","7,67 %","2,81","0,92",0,0
Frontiers in Parasitology,100 %,"32,89 %","3,57","2,07",0,"1,62"
Infectio,100 %,"9,58 %","4,29","1,91",0,"0,21"
サイトメトリーリサーチ,0 %,"20,9 %",2,"0,08",0,"0,2"
Journal of Pediatric Endocrinology and Diabetes,"53,37 %","63,82 %","6,93","0,31",0,0
Newborn,"97,04 %","18,75 %","2,14","3,01",0,"2,71"
International Journal of Medicine and Medical Research,100 %,"19,47 %","3,14","0,47",0,"0,44"
Trakia Journal of Sciences,100 %,"3,17 %","3,14","0,18",0,0
CRO (Clinical & Refractive Optometry) Journal,100 %,"25,35 %","2,57","0,23",0,0
Journal of University Medical & Dental College,100 %,"6,67 %","1,71","0,23",0,0
Current Chemical Biology,"4,03 %","11,48 %",2,"1,55",0,0
Journal of Skin and Sexually Transmitted Diseases,"96,02 %","15,66 %","5,57","1,08",0,0
Bangladesh Journal of Nuclear Medicine,100 %,"22,34 %","6,29","0,24",0,0
Cardiosomatics,100 %,"9,83 %","2,43","0,87",0,0
American Journal of Orthodontics and Dentofacial Orthopedics,"39,37 %","0,8 %","2,43","11,08",0,"0,47"
Journal of Sea Research,"71,86 %","2,35 %",2,"5,52",0,"1,4"
Seminars in Colon and Rectal Surgery,5 %,"14,71 %",5,"1,5",0,"1,35"
Hematology in Clinical Practice,"96,84 %","61,36 %","3,86","0,25",0,0
Organic Chemistry Frontiers,"10,54 %","0,91 %","5,57","17,04",0,"1,22"
Journal of Pediatric and Neonatal Individualized Medicine (JPNIM),100 %,"25,62 %","4,43","0,1",0,0
Current Anesthesiology Reports,"30,83 %","3,98 %",2,3,0,"0,33"
Kocatepe Tıp Dergisi,100 %,"4,78 %","1,86","0,06",0,0
Current Chinese Science,"3,08 %","6,22 %","1,86","1,05",0,0
Journal of the Japan Organization of Clinical Dermatologists,100 %,"14,89 %",2,0,0,0
Vaccine Research,100 %,"16,3 %","2,14","1,07",0,0
Russian Physics Journal,"3,62 %","1,03 %","2,71","3,73",0,"0,07"
Food Science and Technology,100 %,"1,74 %","5,88","3,18",0,"0,01"
Journal of Modern Oncology,100 %,"19,72 %","11,3","0,88",0,0
The Journal of Protozoology Research,0 %,"19,83 %","9,86","0,65",0,0
Romanian Journal of Cardiology,100 %,"17,68 %","4,57","0,15",0,0
Diagnostic Histopathology,"12,29 %","24,64 %","16,37","1,83",0,"2,13"
Vojnosanitetski Pregled,100 %,"8,62 %","14,09","0,31",0,0
GeoHazards,100 %,"11,38 %",2,"2,09",0,"1,92"
Biophysics,"3,63 %","2,19 %","2,57","3,07",0,"0,04"
Biological Procedures Online,100 %,"16,02 %","4,14","14,33",0,"0,84"
Australasian Journal of Ultrasound in Medicine,"92,23 %","6,88 %","2,71","2,08",0,"1,19"
Journal of Enam Medical College,100 %,"15,33 %","3,29","0,2",0,0
Magyar Sebészet,"25,13 %","14,48 %",3,"0,6",0,"0,04"
Current Nanoscience,"1,79 %","2,48 %",2,"4,5","0,08",0
Chinese Journal of Trauma,0 %,"2,31 %",3,"0,87",0,0
Journal of the Portuguese Society of Dermatology and Venereology,100 %,"10,07 %","4,14","0,5",0,0
Journal for Vascular Ultrasound,"15,19 %","4,83 %",2,"0,27",0,"0,1"
Chinese Journal of Organ Transplantation,0 %,"6,03 %","8,49","0,6",0,0
Biomeditsinskaya Khimiya,"69,14 %","5,76 %","2,76","1,9",0,"0,38"
Medica Jadertina,"87,91 %","13,79 %","1,71","0,05",0,0
Oral Cancer,"7,5 %",75 %,"2,14","1,63",0,"0,93"
Medical Science of Armenia,"82,04 %","5,2 %",2,0,0,0
Journal of Innovative Optical Health Sciences,100 %,"5,35 %","2,71","6,56",0,"3,75"
Journal of Musculoskeletal Research,"8,26 %","9,2 %","2,14","0,67",0,"0,46"
Molecular Simulation,"26,23 %","1,8 %","2,43","6,57",0,"0,02"
Sonography,"25,78 %","6,97 %","2,86","0,72",0,"0,98"
Medical Journal of Indonesia,100 %,"15,15 %","7,14","1,48",0,"0,25"
Postępy Mikrobiologii - Advancements of Microbiology,100 %,"11,63 %","2,86","1,28",0,"0,04"
IEEE Transactions on Radiation and Plasma Medical Sciences,"62,53 %","1,98 %","1,86","9,64",0,"0,5"
Review of Primary Care Practice and Education (Kajian Praktik dan Pendidikan Layanan Primer),"99,35 %","13,39 %","2,14","0,23",0,0
Revue Francophone des Laboratoires,"15,76 %","1,01 %","2,38","1,02",0,"0,77"
Journal of Universal College of Medical Sciences,"99,52 %","6,6 %","2,71","0,5",0,0
Pteridines,100 %,"18,84 %","1,86","1,26",0,0
Ultrasound,"83,37 %","10,66 %","4,14","2,67",0,"0,46"
Polymer Bulletin,"8,15 %","1,04 %",3,"5,67",0,"0,03"
Proceedings of the Shevchenko Scientific Society Medical Sciences,100 %,"12,97 %","3,43","0,45",0,0
Journal of the Japan Veterinary Medical Association,"99,36 %","11,03 %","4,29","0,13",0,"0,38"
Journal of Drug Delivery and Therapeutics,"98,07 %","2,58 %","10,16","1,95",0,0
The Thoracic and Cardiovascular Surgeon Reports,100 %,"27,35 %","4,57","1,21",0,"0,41"
Acute Medicine Journal,"60,81 %","7,41 %","2,57","2,04",0,"0,46"
Bulletin of Entomological Research,"30,08 %","3,12 %","1,86","4,35",0,"1,46"
Measurement Techniques,"3,39 %","1,83 %","2,43","2,59",0,0
Differentiation,"42,67 %","8,37 %","2,81","10,88",0,"3,05"
Journal of Traditional Chinese Medical Sciences,100 %,"3,67 %","1,86","1,39",0,"0,05"
Australian Journal of Chemistry,"41,52 %","2,49 %","2,43","2,77",0,"2,05"
Journal of Renal and Hepatic Disorders,100 %,"23,94 %","2,43","1,19",0,0
Egyptian Journal of Histology,"44,56 %","3,49 %","3,35","1,09",0,"0,05"
Japanese Journal of Transfusion and Cell Therapy,100 %,"8,68 %","3,29","0,34",0,0
International Journal of Computational Biology and Drug Design,"13,29 %","7,95 %",3,"1,85","0,02",0
Advances in Continuous and Discrete Models,100 %,"1,54 %","5,14","15,89",0,"0,2"
日本外科感染症学会雑誌,0 %,"19,2 %","6,14","0,01",0,0
Chinese Journal of Biomedical Engineering,0 %,"7,14 %","7,9","0,24",0,0
Maternal-Fetal Medicine,100 %,"9,45 %","2,71","0,95",0,"1,03"
Revista Colombiana de Nefrología,100 %,"9,76 %","3,43","0,44",0,"0,04"
Journal of Oral Medicine Oral Surgery Oral Pathology and Oral Radiology,"88,06 %","12,89 %","4,71","0,08",0,0
Orthodontics and Craniofacial Research,"33,06 %","2,63 %","1,86","5,33",0,"0,32"
Journal of Renal Endocrinology,"93,64 %","92,13 %","11,71","0,59",0,0
Cardiovascular Imaging Asia,100 %,"10,27 %","2,14","0,14",0,0
Geophysical & Astrophysical Fluid Dynamics,"54,49 %","9,64 %","2,29","6,65",0,"0,71"
Journal of Kerman University of Medical Sciences,100 %,"17,07 %",2,"0,48",0,0
Journal of Applied Phycology,"27,19 %","1,56 %","4,36","11,18",0,"0,61"
View,100 %,"7,06 %","3,57","22,35",0,"1,28"
Journal of Atmospheric Chemistry,"26,83 %","96,3 %","11,14","9,09",0,"0,27"
Revista de Patologia Tropical,"99,3 %","27,85 %","6,29","0,74",0,"0,24"
Medical Herald of the South of Russia,100 %,"11,34 %","5,57","0,94",0,0
International Journal of Oral Health Dentistry,"89,39 %","3,4 %","1,71","0,08",0,0
Journal of Endocrinology Tropical Medicine and Infectiouse Disease (JETROMI),"95,83 %","54,78 %",9,"0,22",0,0
Advanced Science Letters,"3,82 %","0,9 %","2,86","0,35",0,0
Konuralp Tıp Dergisi,100 %,"8,14 %","4,43","0,6",0,0
Current Treatment Options in Gastroenterology,"28,32 %","28,31 %",11,"7,34",0,"3,84"
Intelligent Automation & Soft Computing,"99,32 %","1,42 %","2,43","2,59","0,04",0
Demiroglu Science University Florence Nightingale Journal of Medicine,100 %,"31,58 %","2,57",0,0,0
Farmatsevtychnyĭ Zhurnal,100 %,"4,57 %","2,57","0,61",0,0
Clinical Critical Care,100 %,26 %,"1,86","0,2",0,0
Клиническая стоматология,"38,26 %","3,76 %","1,86","0,6",0,0
Turkish Journal of Biochemistry,100 %,"5,89 %","7,21","1,51",0,"0,1"
Therapeutic Advances in Vaccines and Immunotherapy,100 %,"18,18 %","2,29","11,25",0,"23,07"
Journal of Integrative Medicine,"17,73 %","7,19 %","4,29","16,43",0,"1,32"
Radiological Physics and Technology,"11,63 %","5,82 %","2,91","4,29",0,"1,19"
Clinical and Research Journal in Internal Medicine,100 %,"25,37 %","2,43","0,46",0,0
Otology Japan,0 %,"12,66 %","6,86",0,0,0
Revista Brasileira de Cancerologia,100 %,"9,74 %","19,58","1,08",0,"0,13"
Acta Physiologiae Plantarum,"11,36 %","7,04 %",11,"12,72",0,"0,14"
Journal of Health Promotion and Behavior,100 %,"8,33 %","2,14","0,76",0,0
Cell and Tissue Biology,"3,14 %","5,6 %","3,07","1,2",0,0
Nepal Journal of Obstetrics and Gynaecology,100 %,"7,54 %","3,71","0,46",0,0
Journal of Population Therapeutics and Clinical Pharmacology,"82,29 %","1,56 %","4,78","3,02",0,"0,3"
BIOTECHNOLOGY STATE OF THE ART AND PERSPECTIVES,"0,2 %","5,12 %","3,43",0,0,0
Hospital Practices and Research,100 %,"11,04 %","2,43","0,54",0,0
Materials Technology,"24,35 %","2,5 %","2,14","13,34","0,12",0
Isotopes in Environmental and Health Studies,"20,34 %","11,45 %","3,71","6,89",0,"2,63"
Japanese Journal of Cardiovascular Surgery,"96,64 %","10,4 %","11,86","0,13",0,"0,14"
Bulletin of Pharmaceutical Sciences Assiut,"98,65 %","6,14 %","4,43","0,21",0,0
Вестник ВГУ Серия География Геоэкология,50 %,"4,24 %","1,71","0,53",0,0
Psychiatric Genetics,"28,55 %","13,04 %","3,43","2,51",0,"0,79"
Microprocessors and Microsystems,"12,23 %","0,96 %","1,71","11,78",0,0
Water Conservation Science and Engineering,"13,98 %","8,26 %","2,86","9,85",0,"0,02"
Ciencia e Innovación en Salud,100 %,14 %,2,"0,28",0,0
Revista Cirugía del Uruguay,"98,1 %","21,37 %",4,"0,09",0,0
Plasma Processes and Polymers,"42,98 %","2,57 %","3,14","4,78",0,"1,26"
Mansoura Medical Journal,"99,31 %","13,13 %","1,86","0,19",0,0
International Journal of Scientific Research in Science and Technology,"95,84 %","1,2 %","2,97","0,84",0,0
Neonatology Today,"68,25 %","5,64 %","4,29","0,3","1,27",0
Kurdistan Journal of Applied Research,100 %,"5,24 %",2,"0,34",0,0
National Journal of Maxillofacial Surgery,100 %,"14,82 %","9,57","3,41",0,"0,32"
Plasmatology,100 %,"44,83 %","3,71","1,85",0,"1,3"
